pheno_id	full_code	short_code	description	unique_description	type	n	n_cases	n_controls	source
26	100160-Low_calorie_drink_intake	100160	Low calorie drink intake	Low calorie drink intake	ordinal	51427			UK Biobank
27	100170-Fizzy_drink_intake	100170	Fizzy drink intake	Fizzy drink intake	ordinal	51427			UK Biobank
28	100190-Orange_juice_intake	100190	Orange juice intake	Orange juice intake	ordinal	51414			UK Biobank
29	100240-Coffee_consumed	100240	Coffee consumed	Coffee consumed	binary	51427	36318.0	15109.0	UK Biobank
30	100250-Instant_coffee_intake	100250	Instant coffee intake	Instant coffee intake	ordinal	51427			UK Biobank
31	100260-Added_milk_to_instant_coffee	100260	Added milk to instant coffee	Added milk to instant coffee	binary	51427	30297.0	21130.0	UK Biobank
32	100270-Filtered_coffee_intake	100270	Filtered coffee intake	Filtered coffee intake	ordinal	51427			UK Biobank
33	100280-Added_milk_to_filtered_coffee	100280	Added milk to filtered coffee	Added milk to filtered coffee	binary	51427	44669.0	6758.0	UK Biobank
34	100360-Decaffeinated_coffee	100360	Decaffeinated coffee	Decaffeinated coffee	binary	51427	45548.0	5879.0	UK Biobank
35	100370-Intake_of_sugar_added_to_coffee	100370	Intake of sugar added to coffee	Intake of sugar added to coffee	ordinal	51427			UK Biobank
36	100390-Tea_consumed	100390	Tea consumed	Tea consumed	binary	51427	41078.0	10349.0	UK Biobank
37	100400-Standard_tea_intake	100400	Standard tea intake	Standard tea intake	ordinal	51427			UK Biobank
38	100460-Added_milk_to_standard_tea	100460	Added milk to standard tea	Added milk to standard tea	binary	51427	17686.0	33741.0	UK Biobank
39	100520-Milk_intake	100520	Milk intake	Milk intake	ordinal	51413			UK Biobank
40	100580-Alcohol_consumed	100580	Alcohol consumed	Alcohol consumed	binary	51427	25436.0	25991.0	UK Biobank
41	100590-Red_wine_intake	100590	Red wine intake	Red wine intake	ordinal	51427			UK Biobank
42	100630-Rose_wine_intake	100630	Rose wine intake	Rose wine intake	ordinal	51427			UK Biobank
43	100670-White_wine_intake	100670	White wine intake	White wine intake	ordinal	51427			UK Biobank
44	100710-Beercider_intake	100710	Beer/cider intake	Beer/cider intake	ordinal	51427			UK Biobank
45	100720-Fortified_wine_intake	100720	Fortified wine intake	Fortified wine intake	ordinal	51416			UK Biobank
46	100730-Spirits_intake	100730	Spirits intake	Spirits intake	ordinal	51427			UK Biobank
47	100760-Breakfast_cereal_consumed	100760	Breakfast cereal consumed	Breakfast cereal consumed	binary	51427	34069.0	17358.0	UK Biobank
48	100890-Milk_added_to_cereal	100890	Milk added to cereal	Milk added to cereal	binary	51427	22510.0	28917.0	UK Biobank
49	100920_0-Type_milk_consumed_did_not_have_milk	100920_0	Type milk consumed: did not have milk	Type milk consumed: did not have milk	binary	51427	2529.0	48898.0	UK Biobank
50	100920_2102-Type_milk_consumed_semiskimmed	100920_2102	Type milk consumed: semiskimmed	Type milk consumed: semiskimmed	binary	51427	31930.0	19497.0	UK Biobank
51	100920_2103-Type_milk_consumed_skimmed	100920_2103	Type milk consumed: skimmed	Type milk consumed: skimmed	binary	51427	10533.0	40894.0	UK Biobank
52	100920_2104-Type_milk_consumed_wholemilk	100920_2104	Type milk consumed: wholemilk	Type milk consumed: wholemilk	binary	51427	2934.0	48493.0	UK Biobank
53	100920_2105-Type_milk_consumed_soya_with_calcium	100920_2105	Type milk consumed: soya with calcium	Type milk consumed: soya with calcium	binary	51427	1546.0	49881.0	UK Biobank
54	100920_2106-Type_milk_consumed_soya_without_calcium	100920_2106	Type milk consumed: soya without calcium	Type milk consumed: soya without calcium	binary	51427	664.0	50763.0	UK Biobank
55	100920_2107-Type_milk_consumed_goatsheep_milk	100920_2107	Type milk consumed: goat/sheep milk	Type milk consumed: goat/sheep milk	binary	51427	332.0	51095.0	UK Biobank
56	100920_2108-Type_milk_consumed_riceoatvegetable_milk	100920_2108	Type milk consumed: rice/oat/vegetable milk	Type milk consumed: rice/oat/vegetable milk	binary	51427	299.0	51128.0	UK Biobank
57	100920_2109-Type_milk_consumed_powdered_milk	100920_2109	Type milk consumed: powdered milk	Type milk consumed: powdered milk	binary	51427	227.0	51200.0	UK Biobank
58	100920_2110-Type_milk_consumed_cholesterol_lowering_milk	100920_2110	Type milk consumed: cholesterol lowering milk	Type milk consumed: cholesterol lowering milk	binary	51427	101.0	51326.0	UK Biobank
59	100920_2199-Type_milk_consumed_other_type_of_milk	100920_2199	Type milk consumed: other type of milk	Type milk consumed: other type of milk	binary	51427	232.0	51195.0	UK Biobank
60	100940-Bread_consumed	100940	Bread consumed	Bread consumed	binary	51427	44112.0	7315.0	UK Biobank
61	1011-Frequency_of_light_DIY_in_last_4_weeks	1011	Frequency of light DIY in last 4 weeks	Frequency of light DIY in last 4 weeks	ordinal	180494			UK Biobank
62	102080-Yogurticecream_consumers	102080	Yogurt/ice-cream consumers	Yogurt/ice-cream consumers	binary	51427	20803.0	30624.0	UK Biobank
63	1021-Duration_of_light_DIY	1021	Duration of light DIY	Duration of light DIY	ordinal	179548			UK Biobank
64	102130-Dessert_consumers	102130	Dessert consumers	Dessert consumers	binary	51427	16618.0	34809.0	UK Biobank
65	102190-Cake_intake	102190	Cake intake	Cake intake	ordinal	51427			UK Biobank
66	102250-Sweet_snack_consumers	102250	Sweet snack consumers	Sweet snack consumers	binary	51427	27903.0	23524.0	UK Biobank
67	102280-Milk_chocolate_intake	102280	Milk chocolate intake	Milk chocolate intake	ordinal	51425			UK Biobank
68	102290-Dark_chocolate_intake	102290	Dark chocolate intake	Dark chocolate intake	ordinal	51416			UK Biobank
69	102330-Sweets_intake	102330	Sweets intake	Sweets intake	ordinal	51427			UK Biobank
70	102360-Sweet_biscuits_intake	102360	Sweet biscuits intake	Sweet biscuits intake	ordinal	51427			UK Biobank
71	102400-Savoury_snack_consumers	102400	Savoury snack consumers	Savoury snack consumers	binary	51427	18335.0	33092.0	UK Biobank
72	102440-Unsalted_nuts_intake	102440	Unsalted nuts intake	Unsalted nuts intake	ordinal	51427			UK Biobank
73	102460-Crisp_intake	102460	Crisp intake	Crisp intake	ordinal	51427			UK Biobank
74	102700-Starchy_food_consumers	102700	Starchy food consumers	Starchy food consumers	binary	51427	13706.0	37721.0	UK Biobank
75	102800-Cheese_consumers	102800	Cheese consumers	Cheese consumers	binary	51427	23245.0	28182.0	UK Biobank
76	102820-Hard_cheese_intake	102820	Hard cheese intake	Hard cheese intake	ordinal	51427			UK Biobank
77	102830-Soft_cheese_intake	102830	Soft cheese intake	Soft cheese intake	ordinal	51427			UK Biobank
78	102840-Blue_cheese_intake	102840	Blue cheese intake	Blue cheese intake	ordinal	51422			UK Biobank
79	102930-Egg_consumers	102930	Egg consumers	Egg consumers	binary	51427	10817.0	40610.0	UK Biobank
80	102_raw-Pulse_rate_automated_reading	102_raw	Pulse rate, automated reading	Pulse rate, automated reading	continuous_raw	340162			UK Biobank
81	103000-Meat_consumers	103000	Meat consumers	Meat consumers	binary	51427	35580.0	15847.0	UK Biobank
82	103020-Beef_intake	103020	Beef intake	Beef intake (103020)	ordinal	51422			UK Biobank
83	103060-Poultry_intake	103060	Poultry intake	Poultry intake (103060)	ordinal	51422			UK Biobank
84	103070-Bacon_intake	103070	Bacon intake	Bacon intake	ordinal	51427			UK Biobank
85	1031-Frequency_of_friendfamily_visits	1031	Frequency of friend/family visits	Frequency of friend/family visits	ordinal	358821			UK Biobank
86	103120-Fat_removed_from_meat	103120	Fat removed from meat	Fat removed from meat	binary	13447	1016.0	12431.0	UK Biobank
87	103130-Skin_removed_from_poultry	103130	Skin removed from poultry	Skin removed from poultry	binary	11288	194.0	11094.0	UK Biobank
88	103140-Fish_consumer	103140	Fish consumer	Fish consumer	binary	51427	14833.0	36594.0	UK Biobank
89	103250-Vegetarian_alternatives_intake	103250	Vegetarian alternatives intake	Vegetarian alternatives intake	binary	51427	1806.0	49621.0	UK Biobank
90	103990-Vegetable_consumers	103990	Vegetable consumers	Vegetable consumers	binary	51427	42359.0	9068.0	UK Biobank
91	104020-Fried_potatoes_intake	104020	Fried potatoes intake	Fried potatoes intake	ordinal	51427			UK Biobank
92	104090-Side_salad_intake	104090	Side salad intake	Side salad intake	ordinal	51427			UK Biobank
93	104170-Carrot_intake	104170	Carrot intake	Carrot intake	ordinal	51427			UK Biobank
94	104210-Cucumber_intake	104210	Cucumber intake	Cucumber intake	ordinal	51427			UK Biobank
95	104240-Lettuce_intake	104240	Lettuce intake	Lettuce intake	ordinal	51427			UK Biobank
96	104290-Sweet_pepper_intake	104290	Sweet pepper intake	Sweet pepper intake	ordinal	51427			UK Biobank
97	104340-Fresh_tomato_intake	104340	Fresh tomato intake	Fresh tomato intake	ordinal	51427			UK Biobank
98	104400-Fruit_consumers	104400	Fruit consumers	Fruit consumers	binary	51427	41921.0	9506.0	UK Biobank
99	104450-Apple_intake	104450	Apple intake	Apple intake	ordinal	51427			UK Biobank
100	104460-Banana_intake	104460	Banana intake	Banana intake	ordinal	51427			UK Biobank
101	104530-Orange_intake	104530	Orange intake	Orange intake	ordinal	51427			UK Biobank
102	104670-Vitamin_supplement_user	104670	Vitamin supplement user	Vitamin supplement user	binary	51427	21119.0	30308.0	UK Biobank
103	104900-Time_spent_doing_vigorous_physical_activity	104900	Time spent doing vigorous physical activity	Time spent doing vigorous physical activity	ordinal	51427			UK Biobank
104	104910-Time_spent_doing_moderate_physical_activity	104910	Time spent doing moderate physical activity	Time spent doing moderate physical activity	ordinal	51427			UK Biobank
105	104920-Time_spent_doing_light_physical_activity	104920	Time spent doing light physical activity	Time spent doing light physical activity	ordinal	51427			UK Biobank
106	1050-Time_spend_outdoors_in_summer	1050	Time spend outdoors in summer	Time spend outdoors in summer	ordinal	327717			UK Biobank
107	1060-Time_spent_outdoors_in_winter	1060	Time spent outdoors in winter	Time spent outdoors in winter	ordinal	284889			UK Biobank
108	1070-Time_spent_watching_television_TV	1070	Time spent watching television (TV)	Time spent watching television (TV)	ordinal	341859			UK Biobank
109	1080-Time_spent_using_computer	1080	Time spent using computer	Time spent using computer	ordinal	280750			UK Biobank
110	1090-Time_spent_driving	1090	Time spent driving	Time spent driving	ordinal	241357			UK Biobank
111	1100-Drive_faster_than_motorway_speed_limit	1100	Drive faster than motorway speed limit	Drive faster than motorway speed limit	ordinal	327192			UK Biobank
112	110001-Invitation_to_complete_online_24hour_recall_dietary_questionnaire_acceptance	110001	Invitation to complete online 24-hour recall dietary questionnaire, acceptance	Invitation to complete online 24-hour recall dietary questionnaire, acceptance	binary	218234	148169.0	70065.0	UK Biobank
113	1110-Length_of_mobile_phone_use	1110	Length of mobile phone use	Length of mobile phone use	ordinal	356618			UK Biobank
114	1120-Weekly_usage_of_mobile_phone_in_last_3_months	1120	Weekly usage of mobile phone in last 3 months	Weekly usage of mobile phone in last 3 months	ordinal	301157			UK Biobank
115	1130-Handsfree_devicespeakerphone_use_with_mobile_phone_in_last_3_month	1130	Hands-free device/speakerphone use with mobile phone in last 3 month	Hands-free device/speakerphone use with mobile phone in last 3 month	ordinal	302733			UK Biobank
116	1140-Difference_in_mobile_phone_use_compared_to_two_years_previously	1140	Difference in mobile phone use compared to two years previously	Difference in mobile phone use compared to two years previously	ordinal	298239			UK Biobank
117	1150_1-Usual_side_of_head_for_mobile_phone_use_Left	1150_1	Usual side of head for mobile phone use: Left	Usual side of head for mobile phone use: Left	binary	303009	107802.0	195207.0	UK Biobank
118	1150_2-Usual_side_of_head_for_mobile_phone_use_Right	1150_2	Usual side of head for mobile phone use: Right	Usual side of head for mobile phone use: Right	binary	303009	175355.0	127654.0	UK Biobank
119	1150_3-Usual_side_of_head_for_mobile_phone_use_Equally_left_and_right	1150_3	Usual side of head for mobile phone use: Equally left and right	Usual side of head for mobile phone use: Equally left and right	binary	303009	19852.0	283157.0	UK Biobank
120	1160-Sleep_duration	1160	Sleep duration	Sleep duration	ordinal	359020			UK Biobank
121	1170-Getting_up_in_morning	1170	Getting up in morning	Getting up in morning	ordinal	360231			UK Biobank
122	1180-Morningevening_person_chronotype	1180	Morning/evening person (chronotype)	Morning/evening person (chronotype)	ordinal	322488			UK Biobank
123	1190-Nap_during_day	1190	Nap during day	Nap during day	ordinal	360855			UK Biobank
124	1200-Sleeplessness_insomnia	1200	Sleeplessness / insomnia	Sleeplessness / insomnia	ordinal	360738			UK Biobank
125	1210-Snoring	1210	Snoring	Snoring	binary	336320	125656.0	210664.0	UK Biobank
126	1220-Daytime_dozing_sleeping_narcolepsy	1220	Daytime dozing / sleeping (narcolepsy)	Daytime dozing / sleeping (narcolepsy)	ordinal	359752			UK Biobank
127	12336_raw-Ventricular_rate	12336_raw	Ventricular rate	Ventricular rate	continuous_raw	10817			UK Biobank
128	12338_raw-P_duration	12338_raw	P duration	P duration	continuous_raw	10785			UK Biobank
129	12340_raw-QRS_duration	12340_raw	QRS duration	QRS duration	continuous_raw	10815			UK Biobank
130	1239-Current_tobacco_smoking	1239	Current tobacco smoking	Current tobacco smoking	ordinal	360797			UK Biobank
131	1249-Past_tobacco_smoking	1249	Past tobacco smoking	Past tobacco smoking	ordinal	332141			UK Biobank
132	1259-Smokingsmokers_in_household	1259	Smoking/smokers in household	Smoking/smokers in household	ordinal	332573			UK Biobank
133	1269-Exposure_to_tobacco_smoke_at_home	1269	Exposure to tobacco smoke at home	Exposure to tobacco smoke at home	ordinal	326676			UK Biobank
134	1279-Exposure_to_tobacco_smoke_outside_home	1279	Exposure to tobacco smoke outside home	Exposure to tobacco smoke outside home	ordinal	306191			UK Biobank
135	1289-Cooked_vegetable_intake	1289	Cooked vegetable intake	Cooked vegetable intake	ordinal	350404			UK Biobank
136	1299-Salad_raw_vegetable_intake	1299	Salad / raw vegetable intake	Salad / raw vegetable intake	ordinal	339601			UK Biobank
137	129_raw-Place_of_birth_in_UK_north_coordinate	129_raw	Place of birth in UK - north co-ordinate	Place of birth in UK - north co-ordinate	continuous_raw	338701			UK Biobank
138	1309-Fresh_fruit_intake	1309	Fresh fruit intake	Fresh fruit intake	ordinal	348284			UK Biobank
139	130_raw-Place_of_birth_in_UK_east_coordinate	130_raw	Place of birth in UK - east co-ordinate	Place of birth in UK - east co-ordinate	continuous_raw	338701			UK Biobank
140	1319-Dried_fruit_intake	1319	Dried fruit intake	Dried fruit intake	ordinal	329134			UK Biobank
141	1329-Oily_fish_intake	1329	Oily fish intake	Oily fish intake	ordinal	359340			UK Biobank
142	1339-Nonoily_fish_intake	1339	Non-oily fish intake	Non-oily fish intake	ordinal	359682			UK Biobank
143	134-Number_of_selfreported_cancers	134	Number of self-reported cancers	Number of self-reported cancers	ordinal	361136			UK Biobank
144	1349-Processed_meat_intake	1349	Processed meat intake	Processed meat intake	ordinal	360468			UK Biobank
145	135-Number_of_selfreported_noncancer_illnesses	135	Number of self-reported non-cancer illnesses	Number of self-reported non-cancer illnesses	ordinal	361141			UK Biobank
146	1359-Poultry_intake	1359	Poultry intake	Poultry intake (1359)	ordinal	360390			UK Biobank
147	136-Number_of_operations_selfreported	136	Number of operations, self-reported	Number of operations, self-reported	ordinal	361141			UK Biobank
148	1369-Beef_intake	1369	Beef intake	Beef intake (1369)	ordinal	359784			UK Biobank
149	137-Number_of_treatmentsmedications_taken	137	Number of treatments/medications taken	Number of treatments/medications taken	ordinal	361141			UK Biobank
150	1379-Lambmutton_intake	1379	Lamb/mutton intake	Lamb/mutton intake	ordinal	359002			UK Biobank
151	1389-Pork_intake	1389	Pork intake	Pork intake	ordinal	359115			UK Biobank
152	1408-Cheese_intake	1408	Cheese intake	Cheese intake	ordinal	352458			UK Biobank
153	1418_1-Milk_type_used_Full_cream	1418_1	Milk type used: Full cream	Milk type used: Full cream	binary	360806	22902.0	337904.0	UK Biobank
154	1418_2-Milk_type_used_Semiskimmed	1418_2	Milk type used: Semi-skimmed	Milk type used: Semi-skimmed	binary	360806	234870.0	125936.0	UK Biobank
155	1418_3-Milk_type_used_Skimmed	1418_3	Milk type used: Skimmed	Milk type used: Skimmed	binary	360806	74087.0	286719.0	UK Biobank
156	1418_4-Milk_type_used_Soya	1418_4	Milk type used: Soya	Milk type used: Soya	binary	360806	13147.0	347659.0	UK Biobank
157	1418_5-Milk_type_used_Other_type_of_milk	1418_5	Milk type used: Other type of milk	Milk type used: Other type of milk	binary	360806	4213.0	356593.0	UK Biobank
158	1418_6-Milk_type_used_Neverrarely_have_milk	1418_6	Milk type used: Never/rarely have milk	Milk type used: Never/rarely have milk	binary	360806	11587.0	349219.0	UK Biobank
159	1428_0-Spread_type_Neverrarely_use_spread	1428_0	Spread type: Never/rarely use spread	Spread type: Never/rarely use spread	binary	360291	36579.0	323712.0	UK Biobank
160	1428_1-Spread_type_Butterspreadable_butter	1428_1	Spread type: Butter/spreadable butter	Spread type: Butter/spreadable butter	binary	360291	131190.0	229101.0	UK Biobank
161	1428_2-Spread_type_Flora_ProActiveBenecol	1428_2	Spread type: Flora Pro-Active/Benecol	Spread type: Flora Pro-Active/Benecol	binary	360291	1929.0	358362.0	UK Biobank
162	1428_3-Spread_type_Other_type_of_spreadmargarine	1428_3	Spread type: Other type of spread/margarine	Spread type: Other type of spread/margarine	binary	360291	190593.0	169698.0	UK Biobank
163	1438_raw-Bread_intake	1438_raw	Bread intake	Bread intake	continuous_raw	353030			UK Biobank
164	1448_1-Bread_type_White	1448_1	Bread type: White	Bread type: White	binary	348424	91452.0	256972.0	UK Biobank
165	1448_2-Bread_type_Brown	1448_2	Bread type: Brown	Bread type: Brown	binary	348424	41518.0	306906.0	UK Biobank
166	1448_3-Bread_type_Wholemeal_or_wholegrain	1448_3	Bread type: Wholemeal or wholegrain	Bread type: Wholemeal or wholegrain	binary	348424	201013.0	147411.0	UK Biobank
167	1448_4-Bread_type_Other_type_of_bread	1448_4	Bread type: Other type of bread	Bread type: Other type of bread	binary	348424	14441.0	333983.0	UK Biobank
168	1458-Cereal_intake	1458	Cereal intake	Cereal intake	ordinal	345019			UK Biobank
169	1468_1-Cereal_type_Bran_cereal_eg_All_Bran_Branflakes	1468_1	Cereal type: Bran cereal (e.g. All Bran, Branflakes)	Cereal type: Bran cereal (e.g. All Bran, Branflakes)	binary	299898	50609.0	249289.0	UK Biobank
170	1468_2-Cereal_type_Biscuit_cereal_eg_Weetabix	1468_2	Cereal type: Biscuit cereal (e.g. Weetabix)	Cereal type: Biscuit cereal (e.g. Weetabix)	binary	299898	53310.0	246588.0	UK Biobank
171	1468_3-Cereal_type_Oat_cereal_eg_Ready_Brek_porridge	1468_3	Cereal type: Oat cereal (e.g. Ready Brek, porridge)	Cereal type: Oat cereal (e.g. Ready Brek, porridge)	binary	299898	76351.0	223547.0	UK Biobank
172	1468_4-Cereal_type_Muesli	1468_4	Cereal type: Muesli	Cereal type: Muesli	binary	299898	61523.0	238375.0	UK Biobank
173	1468_5-Cereal_type_Other_eg_Cornflakes_Frosties	1468_5	Cereal type: Other (e.g. Cornflakes, Frosties)	Cereal type: Other (e.g. Cornflakes, Frosties)	binary	299898	58105.0	241793.0	UK Biobank
174	1478-Salt_added_to_food	1478	Salt added to food	Salt added to food	ordinal	360954			UK Biobank
175	1488_raw-Tea_intake	1488_raw	Tea intake	Tea intake	continuous_raw	349376			UK Biobank
176	1498-Coffee_intake	1498	Coffee intake	Coffee intake	ordinal	334659			UK Biobank
177	1508_1-Coffee_type_Decaffeinated_coffee_any_type	1508_1	Coffee type: Decaffeinated coffee (any type)	Coffee type: Decaffeinated coffee (any type)	binary	283449	55310.0	228139.0	UK Biobank
178	1508_2-Coffee_type_Instant_coffee	1508_2	Coffee type: Instant coffee	Coffee type: Instant coffee	binary	283449	158386.0	125063.0	UK Biobank
179	1508_3-Coffee_type_Ground_coffee_include_espresso_filter_etc	1508_3	Coffee type: Ground coffee (include espresso, filter etc)	Coffee type: Ground coffee (include espresso, filter etc)	binary	283449	64962.0	218487.0	UK Biobank
180	1508_4-Coffee_type_Other_type_of_coffee	1508_4	Coffee type: Other type of coffee	Coffee type: Other type of coffee	binary	283449	4791.0	278658.0	UK Biobank
181	1518-Hot_drink_temperature	1518	Hot drink temperature	Hot drink temperature	ordinal	357256			UK Biobank
182	1528-Water_intake	1528	Water intake	Water intake	ordinal	333363			UK Biobank
183	1538_0-Major_dietary_changes_in_the_last_5_years_No	1538_0	Major dietary changes in the last 5 years: No	Major dietary changes in the last 5 years: No	binary	360294	221368.0	138926.0	UK Biobank
184	1538_1-Major_dietary_changes_in_the_last_5_years_Yes_because_of_illness	1538_1	Major dietary changes in the last 5 years: Yes, because of illness	Major dietary changes in the last 5 years: Yes, because of illness	binary	360294	38051.0	322243.0	UK Biobank
185	1538_2-Major_dietary_changes_in_the_last_5_years_Yes_because_of_other_reasons	1538_2	Major dietary changes in the last 5 years: Yes, because of other reasons	Major dietary changes in the last 5 years: Yes, because of other reasons	binary	360294	100875.0	259419.0	UK Biobank
186	1548-Variation_in_diet	1548	Variation in diet	Variation in diet	ordinal	359752			UK Biobank
187	1558-Alcohol_intake_frequency	1558	Alcohol intake frequency.	Alcohol intake frequency.	ordinal	360726			UK Biobank
188	1568-Average_weekly_red_wine_intake	1568	Average weekly red wine intake	Average weekly red wine intake	ordinal	257773			UK Biobank
189	1578-Average_weekly_champagne_plus_white_wine_intake	1578	Average weekly champagne plus white wine intake	Average weekly champagne plus white wine intake	ordinal	257623			UK Biobank
190	1588-Average_weekly_beer_plus_cider_intake	1588	Average weekly beer plus cider intake	Average weekly beer plus cider intake	ordinal	258256			UK Biobank
191	1598-Average_weekly_spirits_intake	1598	Average weekly spirits intake	Average weekly spirits intake	ordinal	257426			UK Biobank
192	1608-Average_weekly_fortified_wine_intake	1608	Average weekly fortified wine intake	Average weekly fortified wine intake	ordinal	258191			UK Biobank
193	1618-Alcohol_usually_taken_with_meals	1618	Alcohol usually taken with meals	Alcohol usually taken with meals	binary	184716	125164.0	59552.0	UK Biobank
194	1628-Alcohol_intake_versus_10_years_previously	1628	Alcohol intake versus 10 years previously	Alcohol intake versus 10 years previously	ordinal	334989			UK Biobank
195	1677-Breastfed_as_a_baby	1677	Breastfed as a baby	Breastfed as a baby	binary	273743	193838.0	79905.0	UK Biobank
196	1687-Comparative_body_size_at_age_10	1687	Comparative body size at age 10	Comparative body size at age 10	ordinal	354996			UK Biobank
197	1697-Comparative_height_size_at_age_10	1697	Comparative height size at age 10	Comparative height size at age 10	ordinal	355331			UK Biobank
198	1707_1-Handedness_chiralitylaterality_Righthanded	1707_1	Handedness (chirality/laterality): Right-handed	Handedness (chirality/laterality): Right-handed	binary	360913	320242.0	40671.0	UK Biobank
199	1707_2-Handedness_chiralitylaterality_Lefthanded	1707_2	Handedness (chirality/laterality): Left-handed	Handedness (chirality/laterality): Left-handed	binary	360913	34585.0	326328.0	UK Biobank
200	1707_3-Handedness_chiralitylaterality_Use_both_right_and_left_hands_equally	1707_3	Handedness (chirality/laterality): Use both right and left hands equally	Handedness (chirality/laterality): Use both right and left hands equally	binary	360913	6086.0	354827.0	UK Biobank
201	1717-Skin_colour	1717	Skin colour	Skin colour	ordinal	356530			UK Biobank
202	1727-Ease_of_skin_tanning	1727	Ease of skin tanning	Ease of skin tanning	ordinal	353697			UK Biobank
203	1737-Childhood_sunburn_occasions	1737	Childhood sunburn occasions	Childhood sunburn occasions	ordinal	269734			UK Biobank
204	1747_1-Hair_colour_natural_before_greying_Blonde	1747_1	Hair colour (natural, before greying): Blonde	Hair colour (natural, before greying): Blonde	binary	360270	41178.0	319092.0	UK Biobank
205	1747_2-Hair_colour_natural_before_greying_Red	1747_2	Hair colour (natural, before greying): Red	Hair colour (natural, before greying): Red	binary	360270	16615.0	343655.0	UK Biobank
206	1747_3-Hair_colour_natural_before_greying_Light_brown	1747_3	Hair colour (natural, before greying): Light brown	Hair colour (natural, before greying): Light brown	binary	360270	147560.0	212710.0	UK Biobank
207	1747_4-Hair_colour_natural_before_greying_Dark_brown	1747_4	Hair colour (natural, before greying): Dark brown	Hair colour (natural, before greying): Dark brown	binary	360270	134627.0	225643.0	UK Biobank
208	1747_5-Hair_colour_natural_before_greying_Black	1747_5	Hair colour (natural, before greying): Black	Hair colour (natural, before greying): Black	binary	360270	15809.0	344461.0	UK Biobank
209	1747_6-Hair_colour_natural_before_greying_Other	1747_6	Hair colour (natural, before greying): Other	Hair colour (natural, before greying): Other	binary	360270	4481.0	355789.0	UK Biobank
210	1757-Facial_ageing	1757	Facial ageing	Facial ageing	ordinal	330409			UK Biobank
211	1767-Adopted_as_a_child	1767	Adopted as a child	Adopted as a child	binary	360450	5158.0	355292.0	UK Biobank
212	1777-Part_of_a_multiple_birth	1777	Part of a multiple birth	Part of a multiple birth	binary	355467	7919.0	347548.0	UK Biobank
213	1787-Maternal_smoking_around_birth	1787	Maternal smoking around birth	Maternal smoking around birth	binary	309942	95182.0	214760.0	UK Biobank
214	1797-Father_still_alive	1797	Father still alive	Father still alive	binary	351538	81229.0	270309.0	UK Biobank
215	1807_raw-Fathers_age_at_death	1807_raw	Father's age at death	Father's age at death	continuous_raw	266231			UK Biobank
216	1835-Mother_still_alive	1835	Mother still alive	Mother still alive	binary	355029	140246.0	214783.0	UK Biobank
